Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",52.316468,-55.114807,0.000000,top
"C2","1uF","C_0402_1005Metric",49.296468,-47.069807,180.000000,top
"C3","100nF","C_0402_1005Metric",36.245000,-44.850000,0.000000,top
"C4","1uF","C_0402_1005Metric",47.742218,-57.145825,90.000000,top
"C5","100nF","C_0402_1005Metric",43.452468,-55.352057,90.000000,top
"C6","100nF","C_0402_1005Metric",47.389468,-70.973057,-90.000000,top
"C7","22pF","C_0402_1005Metric",39.261468,-74.798825,-90.000000,top
"C8","22pF","C_0402_1005Metric",45.964218,-74.544825,90.000000,top
"C9","10uF","C_0402_1005Metric",52.316468,-53.914807,180.000000,top
"C10","1uF","C_0402_1005Metric",44.976468,-55.352057,90.000000,top
"C11","100nF","C_0402_1005Metric",52.282468,-66.305700,-45.000000,top
"C12","100nF","C_0402_1005Metric",48.758218,-57.145825,90.000000,top
"C13","100nF","C_0402_1005Metric",39.741218,-59.685825,90.000000,top
"C14","100nF","C_0402_1005Metric",45.865468,-70.973057,-90.000000,top
"C15","100nF","C_0402_1005Metric",38.740000,-64.640000,180.000000,top
"C16","100nF","C_0402_1005Metric",51.453468,-58.400057,0.000000,top
"C17","100nF","C_0402_1005Metric",51.453468,-59.924057,0.000000,top
"D1","Schottky Diode","D_SOD-123",52.846468,-50.899807,90.000000,top
"D2","Schottky Diode","D_SOD-123",55.226468,-45.969807,90.000000,top
"D3","GREEN","LED_0805_2012Metric",57.353968,-61.989807,180.000000,top
"F1","500 mA","Fuse_1206_3216Metric",50.106468,-43.949807,0.000000,top
"J1","USB C Connector","TYPE-C_24P_QCHT",44.974968,-31.639807,180.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",52.594968,-32.308807,0.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",37.354968,-32.308807,0.000000,top
"J5","GCC Cable","PinHeader_1x06_P2.00mm_Vertical",66.640000,-40.160000,-90.000000,top
"J6","Screw_Terminal_01x09","PinHeader_1x09_P2.54mm_Vertical",22.974968,-55.270000,0.000000,top
"J7","Screw_Terminal_01x09","PinHeader_1x09_P2.54mm_Vertical",34.650000,-85.804957,90.000000,top
"J8","Screw_Terminal_01x09","PinHeader_1x09_P2.54mm_Vertical",66.974968,-55.270000,0.000000,top
"R1","1M","R_0603_1608Metric",22.970000,-35.750000,90.000000,top
"R2","5.1k","R_0402_1005Metric",41.300000,-39.980000,0.000000,top
"R3","5.1k","R_0402_1005Metric",46.140000,-39.940000,-90.000000,top
"R4","470","R_0402_1005Metric",54.726468,-61.999807,0.000000,top
"R5","5.6k","R_0402_1005Metric",55.426468,-58.094807,-90.000000,top
"R6","10k","R_0402_1005Metric",56.966468,-58.094807,90.000000,top
"R7","10k","R_0402_1005Metric",50.896468,-70.419807,180.000000,top
"R8","27","R_0603_1608Metric",45.406468,-51.629807,-90.000000,top
"R9","27","R_0603_1608Metric",46.936468,-51.629807,-90.000000,top
"R10","1k","R_0402_1005Metric",27.020379,-42.923718,-90.000000,top
"R11","1k","R_0402_1005Metric",43.833468,-70.973057,90.000000,top
"SW1","Boot","SW_SPST_SKQG_WithStem",31.510379,-35.258718,-90.000000,top
"U1","XC6206","SOT-23",49.748968,-49.309807,180.000000,top
"U2","USBLC6-2SC6","SOT-23-6",44.976468,-45.839807,-90.000000,top
"U3","RP2040","RP2040-QFN-56",44.976468,-63.384807,0.000000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",30.620379,-46.753718,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",42.690468,-74.529057,180.000000,top
